County	New	Repub.	Dem.	Other	No. of Comm.	Female	African American	Native American	Other
Alamance	1 	4 	1 	0 	5 	1 	0 	0 	
Alexander	1 	4 	1 	0 	5 	0 	0 	0 	
Alleghany	3 	2 	3 	0 	5 	1 	0 	0 	
Anson	2 	0 	7 	0 	7 	1 	3 	0 	
Ashe	2 	2 	3 	0 	5 	1 	0 	0 	
Avery	2 	5 	0 	0 	5 	2 	0 	0 	
Beaufort	1 	4 	3 	0 	7 	0 	2 	0 	
Bertie	0 	0 	4 	0 	5 	0 	2 	0 	
Bladen	0 	1 	8 	0 	9 	2 	3 	0 	
Brunswick	0 	3 	2 	0 	5 	1 	0 	0 	
Buncombe	0 	0 	5 	0 	5 	1 	0 	0 	
Burke	0 	4 	1 	0 	5 	1 	0 	0 	
Cabarrus	0 	5 	0 	0 	5 	2 	0 	0 	
Caldwell	2 	3 	2 	0 	5 	1 	0 	0 	
Camden	1 	3 	2 	0 	5 	1 	0 	0 	
Carteret	3 	6 	1 	0 	7 	0 	0 	0 	
Caswell	1 	0 	7 	0 	7 	0 	2 	0 	
Catawba	0 	5 	0 	0 	5 	3 	0 	0 	
Chatham	3 	0 	5 	0 	5 	0 	1 	0 	
Cherokee	2 	1 	2 	0 	3 	0 	0 	0 	
Chowan	0 	0 	6 	0 	7 	0 	2 	0 	
Clay	2 	1 	2 	0 	3 	0 	0 	0 	
Cleveland	2 	2 	3 	0 	5 	2 	1 	0 	
Columbus	2 	0 	7 	0 	7 	0 	1 	1 	
Craven	2 	3 	4 	0 	7 	1 	2 	1 	
Cumberland	1 	1 	6 	0 	7 	2 	2 	0 	
Currituck	3 	2 	3 	0 	5 	1 	0 	0 	
Dare	3 	3 	4 	0 	7 	1 	1 	0 	
Davidson	1 	6 	1 	0 	7 	0 	0 	0 	
Davie	1 	4 	1 	0 	5 	0 	0 	0 	
Duplin	2 	1 	4 	1 	6 	1 	2 	0 	
Durham	0 	0 	5 	0 	5 	2 	2 	0 	
Edgecombe	0 	0 	7 	0 	7 	1 	4 	0 	
Forsyth	1 	4 	3 	0 	7 	2 	2 	0 	
Franklin	2 	3 	4 	0 	7 	1 	1 	0 	
Gaston	0 	7 	0 	0 	7 	1 	1 	0 	
Gates	2 	0 	5 	0 	5 	0 	0 	0 	
Graham	5 	4 	1 	0 	5 	0 	0 	0 	
Granville	0 	0 	7 	0 	7 	0 	3 	0 	
Greene	2 	0 	5 	0 	5 	0 	1 	0 	
Guilford	0 	3 	8 	0 	11 	3 	3 	0 	
Halifax	0 	0 	6 	0 	6 	2 	3 	0 	
Harnett	1 	3 	2 	0 	5 	1 	1 	0 	
Haywood	2 	0 	5 	0 	5 	1 	0 	0 	
Henderson	1 	5 	0 	0 	5 	0 	0 	0 	
Hertford	0 	0 	5 	0 	5 	0 	4 	0 	
Hoke	2 	0 	5 	0 	5 	2 	2 	1 	
Hyde	2 	1 	4 	0 	5 	2 	0 	0 	
Iredell	0 	5 	0 	0 	5 	1 	1 	0 	
Jackson	3 	0 	5 	0 	5 	0 	0 	0 	
Johnston	0 	7 	0 	0 	7 	1 	0 	0 	
Jones	1 	1 	4 	0 	5 	1 	0 	0 	
Lee	2 	2 	5 	0 	7 	2 	1 	0 	
Lenoir	1 	3 	4 	0 	7 	1 	2 	0 	
Lincoln	2 	5 	0 	0 	5 	1 	0 	0 	
Macon	2 	3 	2 	0 	5 	0 	0 	0 	
Madison	0 	2 	3 	0 	5 	0 	0 	0 	
Martin	0 	0 	5 	0 	5 	0 	1 	0 	
McDowell	0 	1 	4 	0 	5 	0 	0 	0 	
Mecklenburg	2 	4 	5 	0 	9 	3 	1 	0 	1 
Mitchell	2 	5 	0 	0 	5 	1 	0 	0 	
Montgomery	1 	0 	5 	0 	5 	1 	1 	0 	
Moore	2 	5 	0 	0 	5 	1 	0 	0 	
Nash	0 	3 	4 	0 	7 	1 	2 	0 	
New Hanover	0 	5 	0 	0 	5 	1 	0 	0 	
Northampton	1 	0 	5 	0 	5 	2 	4 	0 	
Onslow	0 	5 	0 	0 	5 	0 	0 	0 	
Orange	1 	0 	5 	0 	5 	2 	1 	0 	
Pamlico	0 	1 	6 	0 	7 	2 	1 	0 	
Pasquotank	0 	0 	7 	0 	7 	0 	1 	0 	
Pender	2 	2 	3 	0 	5 	0 	0 	0 	
Perquimans	0 	2 	4 	0 	6 	3 	2 	0 	
Person	1 	2 	3 	0 	5 	0 	1 	0 	
Pitt	1 	2 	7 	0 	9 	1 	2 	0 	
Polk	2 	3 	2 	0 	5 	0 	0 	0 	
Randolph	1 	5 	0 	0 	5 	0 	0 	0 	
Richmond	1 	0 	7 	0 	7 	1 	1 	0 	
Robeson	1 	0 	8 	0 	8 	0 	2 	3 	
Rockingham	2 	3 	2 	0 	5 	1 	0 	0 	
Rowan	2 	4 	1 	0 	5 	1 	0 	0 	
Rutherford	1 	2 	3 	0 	5 	1 	0 	0 	
Sampson	1 	3 	2 	0 	5 	0 	2 	0 	
Scotland	1 	0 	7 	0 	7 	2 	5 	0 	
Stanly	1 	4 	1 	0 	5 	0 	0 	0 	1 
Stokes	3 	4 	1 	0 	5 	0 	0 	0 	
Surry	1 	3 	2 	0 	5 	0 	0 	0 	
Swain	2 	0 	5 	0 	5 	1 	0 	0 	
Transylvania	2 	4 	1 	0 	5 	0 	0 	0 	
Tyrrell	2 	0 	5 	0 	5 	1 	1 	0 	
Union	3 	5 	0 	0 	5 	0 	0 	0 	
Vance	2 	1 	6 	0 	7 	1 	3 	0 	
Wake	2 	4 	3 	0 	7 	2 	1 	0 	
Warren	2 	0 	5 	0 	5 	0 	2 	1 	
Washington	2 	0 	5 	0 	5 	2 	2 	0 	
Watauga	2 	2 	3 	0 	5 	1 	0 	0 	
Wayne	0 	2 	5 	0 	7 	0 	2 	0 	
Wilkes	2 	2 	3 	0 	5 	2 	1 	0 	
Wilson	1 	2 	5 	0 	7 	2 	3 	0 	
Yadkin	3 	4 	1 	0 	5 	1 	0 	0 	
Yancey	1 	2 	1 	0 	3 	0 	0 	0 	
