County,ncomm,new,nrep,ndem,nother,nfemale,nwhite,nafam,namin,nother_race,Year
Alamance,5,1,4,1,0,1,5,0,0,0,2006
Alexander,5,1,4,1,0,0,5,0,0,0,2006
Alleghany,5,3,2,3,0,1,5,0,0,0,2006
Anson,7,2,0,7,0,1,4,3,0,0,2006
Ashe,5,2,2,3,0,1,5,0,0,0,2006
Avery,5,2,5,0,0,2,5,0,0,0,2006
Beaufort,7,1,4,3,0,0,5,2,0,0,2006
Bertie,5,0,0,4,0,0,3,2,0,0,2006
Bladen,9,0,1,8,0,2,6,3,0,0,2006
Brunswick,5,0,3,2,0,1,5,0,0,0,2006
Buncombe,5,0,0,5,0,1,5,0,0,0,2006
Burke,5,0,4,1,0,1,5,0,0,0,2006
Cabarrus,5,0,5,0,0,2,5,0,0,0,2006
Caldwell,5,2,3,2,0,1,5,0,0,0,2006
Camden,5,1,3,2,0,1,5,0,0,0,2006
Carteret,7,3,6,1,0,0,7,0,0,0,2006
Caswell,7,1,0,7,0,0,5,2,0,0,2006
Catawba,5,0,5,0,0,3,5,0,0,0,2006
Chatham,5,3,0,5,0,0,4,1,0,0,2006
Cherokee,3,2,1,2,0,0,3,0,0,0,2006
Chowan,7,0,0,6,0,0,5,2,0,0,2006
Clay,3,2,1,2,0,0,3,0,0,0,2006
Cleveland,5,2,2,3,0,2,4,1,0,0,2006
Columbus,7,2,0,7,0,0,5,1,1,0,2006
Craven,7,2,3,4,0,1,4,2,1,0,2006
Cumberland,7,1,1,6,0,2,5,2,0,0,2006
Currituck,5,3,2,3,0,1,5,0,0,0,2006
Dare,7,3,3,4,0,1,6,1,0,0,2006
Davidson,7,1,6,1,0,0,7,0,0,0,2006
Davie,5,1,4,1,0,0,5,0,0,0,2006
Duplin,6,2,1,4,1,1,4,2,0,0,2006
Durham,5,0,0,5,0,2,3,2,0,0,2006
Edgecombe,7,0,0,7,0,1,3,4,0,0,2006
Forsyth,7,1,4,3,0,2,5,2,0,0,2006
Franklin,7,2,3,4,0,1,6,1,0,0,2006
Gaston,7,0,7,0,0,1,6,1,0,0,2006
Gates,5,2,0,5,0,0,5,0,0,0,2006
Graham,5,5,4,1,0,0,5,0,0,0,2006
Granville,7,0,0,7,0,0,4,3,0,0,2006
Greene,5,2,0,5,0,0,4,1,0,0,2006
Guilford,11,0,3,8,0,3,8,3,0,0,2006
Halifax,6,0,0,6,0,2,3,3,0,0,2006
Harnett,5,1,3,2,0,1,4,1,0,0,2006
Haywood,5,2,0,5,0,1,5,0,0,0,2006
Henderson,5,1,5,0,0,0,5,0,0,0,2006
Hertford,5,0,0,5,0,0,1,4,0,0,2006
Hoke,5,2,0,5,0,2,2,2,1,0,2006
Hyde,5,2,1,4,0,2,5,0,0,0,2006
Iredell,5,0,5,0,0,1,4,1,0,0,2006
Jackson,5,3,0,5,0,0,5,0,0,0,2006
Johnston,7,0,7,0,0,1,7,0,0,0,2006
Jones,5,1,1,4,0,1,5,0,0,0,2006
Lee,7,2,2,5,0,2,6,1,0,0,2006
Lenoir,7,1,3,4,0,1,5,2,0,0,2006
Lincoln,5,2,5,0,0,1,5,0,0,0,2006
Macon,5,2,3,2,0,0,5,0,0,0,2006
Madison,5,0,2,3,0,0,5,0,0,0,2006
Martin,5,0,0,5,0,0,4,1,0,0,2006
McDowell,5,0,4,1,0,0,5,0,0,0,2006
Mecklenburg,9,2,4,5,0,3,7,1,0,1,2006
Mitchell,5,2,5,0,0,1,5,0,0,0,2006
Montgomery,5,1,0,5,0,1,4,1,0,0,2006
Moore,5,2,5,0,0,1,5,0,0,0,2006
Nash,7,0,3,4,0,1,5,2,0,0,2006
New Hanover,5,0,5,0,0,1,5,0,0,0,2006
Northampton,5,1,0,5,0,2,1,4,0,0,2006
Onslow,5,0,5,0,0,0,5,0,0,0,2006
Orange,5,1,0,5,0,2,4,1,0,0,2006
Pamlico,7,0,1,6,0,2,6,1,0,0,2006
Pasquotank,7,0,0,7,0,0,6,1,0,0,2006
Pender,5,2,2,3,0,0,5,0,0,0,2006
Perquimans,6,0,2,4,0,3,4,2,0,0,2006
Person,5,1,2,3,0,0,4,1,0,0,2006
Pitt,9,1,2,7,0,1,7,2,0,0,2006
Polk,5,2,3,2,0,0,5,0,0,0,2006
Randolph,5,1,5,0,0,0,5,0,0,0,2006
Richmond,7,1,0,7,0,1,6,1,0,0,2006
Robeson,8,1,0,8,0,0,3,2,3,0,2006
Rockingham,5,2,1,4,0,1,5,0,0,0,2006
Rowan,5,2,4,1,0,1,5,0,0,0,2006
Rutherford,5,1,2,3,0,1,5,0,0,0,2006
Sampson,5,1,3,2,0,0,3,2,0,0,2006
Scotland,7,1,0,7,0,2,2,5,0,0,2006
Stanly,5,1,4,1,0,0,4,0,0,1,2006
Stokes,5,3,4,1,0,0,5,0,0,0,2006
Surry,5,1,3,2,0,0,5,0,0,0,2006
Swain,5,2,0,5,0,1,5,0,0,0,2006
Transylvania,5,2,4,1,0,0,5,0,0,0,2006
Tyrrell,5,2,0,5,0,1,4,1,0,0,2006
Union,5,3,5,0,0,0,5,0,0,0,2006
Vance,7,2,1,6,0,1,4,3,0,0,2006
Wake,7,2,4,3,0,2,6,1,0,0,2006
Warren,5,2,0,5,0,0,2,2,1,0,2006
Washington,5,2,0,5,0,2,3,2,0,0,2006
Watauga,5,2,2,3,0,1,5,0,0,0,2006
Wayne,7,0,2,5,0,0,5,2,0,0,2006
Wilkes,5,2,1,4,0,1,4,1,0,0,2006
Wilson,7,1,2,5,0,2,4,3,0,0,2006
Yadkin,5,3,4,1,0,1,5,0,0,0,2006
Yancey,3,1,2,1,0,0,3,0,0,0,2006
Alamance,5,2,2,3,0,1,5,0,0,0,2008
Alexander,5,1,4,1,0,0,5,0,0,0,2008
Alleghany,5,1,1,4,0,1,5,0,0,0,2008
Anson,7,0,0,7,0,1,3,4,0,0,2008
Ashe,5,1,3,2,0,1,5,0,0,0,2008
Avery,5,2,5,0,0,2,5,0,0,0,2008
Beaufort,7,0,4,3,0,0,5,2,0,0,2008
Bertie,5,1,0,5,0,0,2,3,0,0,2008
Bladen,9,2,1,8,0,2,6,3,0,0,2008
Brunswick,5,2,5,0,0,0,4,1,0,0,2008
Buncombe,5,2,0,5,0,2,5,0,0,0,2008
Burke,5,3,2,3,0,1,4,1,0,0,2008
Cabarrus,5,1,5,0,0,2,5,0,0,0,2008
Caldwell,5,3,3,2,0,0,5,0,0,0,2008
Camden,5,2,3,2,0,1,5,0,0,0,2008
Carteret,7,1,6,1,0,0,7,0,0,0,2008
Caswell,7,2,0,7,0,0,4,3,0,0,2008
Catawba,5,0,5,0,0,3,5,0,0,0,2008
Chatham,5,1,0,5,0,1,4,1,0,0,2008
Cherokee,3,2,1,2,0,0,3,0,0,0,2008
Chowan,7,3,2,5,0,0,5,2,0,0,2008
Clay,3,2,1,2,0,0,3,0,0,0,2008
Cleveland,5,0,2,3,0,2,4,1,0,0,2008
Columbus,7,2,0,7,0,0,5,1,1,0,2008
Craven,7,0,3,4,0,1,4,2,1,0,2008
Cumberland,7,2,0,7,0,1,5,2,0,0,2008
Currituck,7,2,4,3,0,1,7,0,0,0,2008
Dare,7,0,3,4,0,1,6,1,0,0,2008
Davidson,7,1,6,1,0,1,7,0,0,0,2008
Davie,5,1,4,1,0,0,5,0,0,0,2008
Duplin,6,1,1,4,1,2,4,2,0,0,2008
Durham,5,2,0,5,0,3,2,3,0,0,2008
Edgecombe,7,1,0,7,0,2,3,4,0,0,2008
Forsyth,7,0,4,3,0,2,5,2,0,0,2008
Franklin,7,1,3,4,0,1,6,1,0,0,2008
Gaston,7,0,7,0,0,1,6,1,0,0,2008
Gates,5,2,0,5,0,0,4,1,0,0,2008
Graham,5,5,3,2,0,1,5,0,0,0,2008
Granville,7,0,0,7,0,0,4,3,0,0,2008
Greene,5,1,0,5,0,0,4,1,0,0,2008
Guilford,11,0,4,7,0,3,8,3,0,0,2008
Halifax,6,0,1,5,0,2,3,3,0,0,2008
Harnett,5,1,3,2,0,1,4,1,0,0,2008
Haywood,5,0,1,4,0,0,5,0,0,0,2008
Henderson,5,0,5,0,0,0,5,0,0,0,2008
Hertford,5,1,0,5,0,0,1,4,0,0,2008
Hoke,5,0,0,5,0,2,2,2,1,0,2008
Hyde,5,2,1,4,0,1,5,0,0,0,2008
Iredell,5,0,5,0,0,0,4,1,0,0,2008
Jackson,5,0,0,5,0,0,5,0,0,0,2008
Johnston,7,0,7,0,0,1,7,0,0,0,2008
Jones,5,0,1,4,0,1,5,0,0,0,2008
Lee,7,3,2,5,0,2,6,1,0,0,2008
Lenoir,7,3,2,5,0,2,5,2,0,0,2008
Lincoln,5,1,5,0,0,0,5,0,0,0,2008
Macon,5,1,2,3,0,0,5,0,0,0,2008
Madison,5,2,1,4,0,1,5,0,0,0,2008
Martin,5,0,0,4,1,0,4,1,0,0,2008
McDowell,5,0,4,1,0,0,5,0,0,0,2008
Mecklenburg,9,5,3,6,0,3,6,3,0,0,2008
Mitchell,5,3,5,0,0,1,5,0,0,0,2008
Montgomery,5,3,1,4,0,0,4,1,0,0,2008
Moore,5,1,5,0,0,1,5,0,0,0,2008
Nash,7,1,3,4,0,1,5,2,0,0,2008
New Hanover,5,1,4,1,0,0,4,1,0,0,2008
Northampton,5,0,0,5,0,2,1,4,0,0,2008
Onslow,5,2,5,0,0,1,5,0,0,0,2008
Orange,7,3,0,7,0,4,6,1,0,0,2008
Pamlico,7,1,2,5,0,2,6,1,0,0,2008
Pasquotank,7,0,0,7,0,0,5,2,0,0,2008
Pender,5,0,2,3,0,0,4,1,0,0,2008
Perquimans,6,0,2,4,0,3,4,2,0,0,2008
Person,5,2,2,3,0,0,3,2,0,0,2008
Pitt,9,1,1,8,0,1,7,2,0,0,2008
Polk,5,3,0,4,1,2,5,0,0,0,2008
Randolph,5,0,5,0,0,0,5,0,0,0,2008
Richmond,7,1,0,7,0,2,6,1,0,0,2008
Robeson,8,1,0,8,0,0,3,2,3,0,2008
Rockingham,5,2,0,5,0,1,4,1,0,0,2008
Rowan,5,2,4,1,0,1,5,0,0,0,2008
Rutherford,5,2,1,4,0,2,5,0,0,0,2008
Sampson,5,1,3,2,0,0,3,2,0,0,2008
Scotland,7,1,0,7,0,2,2,5,0,0,2008
Stanly,5,1,4,1,0,1,5,0,0,0,2008
Stokes,5,0,4,1,0,0,5,0,0,0,2008
Surry,5,0,3,2,0,0,5,0,0,0,2008
Swain,5,0,0,5,0,1,5,0,0,0,2008
Transylvania,5,1,4,1,0,0,5,0,0,0,2008
Tyrrell,5,3,0,4,1,0,4,1,0,0,2008
Union,5,2,5,0,0,2,5,0,0,0,2008
Vance,7,0,1,6,0,1,4,3,0,0,2008
Wake,7,1,3,4,0,2,5,2,0,0,2008
Warren,5,1,0,4,1,1,2,2,1,0,2008
Washington,5,1,0,5,0,2,3,2,0,0,2008
Watauga,5,1,0,5,0,0,5,0,0,0,2008
Wayne,7,2,2,5,0,1,5,2,0,0,2008
Wilkes,5,1,4,1,0,0,4,1,0,0,2008
Wilson,7,0,2,5,0,2,4,3,0,0,2008
Yadkin,5,2,4,1,0,0,5,0,0,0,2008
Yancey,3,1,0,3,0,1,3,0,0,0,2008
Alamance,5,1,3,2,0,1,5,0,0,0,2010
Alexander,5,2,5,0,0,0,5,0,0,0,2010
Alleghany,5,3,1,4,0,0,5,0,0,0,2010
Anson,7,0,0,7,0,1,3,4,0,0,2010
Ashe,5,2,5,0,0,1,5,0,0,0,2010
Avery,5,0,5,0,0,2,5,0,0,0,2010
Beaufort,7,0,4,3,0,0,5,2,0,0,2010
Bertie,5,0,0,5,0,0,2,3,0,0,2010
Bladen,9,3,1,8,0,1,7,2,0,0,2010
Brunswick,5,0,5,0,0,0,4,1,0,0,2010
Buncombe,5,0,0,5,0,2,5,0,0,0,2010
Burke,5,1,3,2,0,0,4,1,0,0,2010
Cabarrus,5,2,5,0,0,1,5,0,0,0,2010
Caldwell,5,2,5,0,0,0,5,0,0,0,2010
Camden,5,2,4,1,0,1,5,0,0,0,2010
Carteret,7,2,7,0,0,0,7,0,0,0,2010
Caswell,7,1,1,6,0,1,4,3,0,0,2010
Catawba,5,1,5,0,0,3,5,0,0,0,2010
Chatham,5,3,3,2,0,2,5,0,0,0,2010
Cherokee,3,3,2,1,0,1,3,0,0,0,2010
Chowan,7,3,2,5,0,0,5,2,0,0,2010
Clay,3,2,2,1,0,0,3,0,0,0,2010
Cleveland,5,1,3,2,0,1,4,1,0,0,2010
Columbus,7,1,0,7,0,0,5,1,1,0,2010
Craven,7,3,5,2,0,0,4,2,1,0,2010
Cumberland,7,1,0,7,0,1,4,3,0,0,2010
Currituck,7,3,7,0,0,1,7,0,0,0,2010
Dare,7,0,3,4,0,1,6,1,0,0,2010
Davidson,7,1,7,0,0,1,7,0,0,0,2010
Davie,5,2,5,0,0,0,5,0,0,0,2010
Duplin,6,1,1,5,0,3,4,2,0,0,2010
Durham,5,0,0,5,0,3,2,3,0,0,2010
Edgecombe,7,1,0,7,0,2,3,4,0,0,2010
Forsyth,7,2,5,2,0,2,5,2,0,0,2010
Franklin,7,1,3,4,0,1,6,1,0,0,2010
Gaston,7,1,7,0,0,0,7,0,0,0,2010
Gates,5,2,0,5,0,0,4,1,0,0,2010
Graham,5,3,4,1,0,2,5,0,0,0,2010
Granville,7,3,1,6,0,0,4,3,0,0,2010
Greene,5,0,0,5,0,0,4,1,0,0,2010
Guilford,11,1,4,7,0,3,8,3,0,0,2010
Halifax,6,1,0,6,0,2,2,4,0,0,2010
Harnett,5,0,3,2,0,1,4,1,0,0,2010
Haywood,5,1,1,4,0,0,5,0,0,0,2010
Henderson,5,2,5,0,0,0,5,0,0,0,2010
Hertford,5,0,0,5,0,0,1,4,0,0,2010
Hoke,5,0,0,5,0,2,2,2,1,0,2010
Hyde,5,2,0,4,1,2,5,0,0,0,2010
Iredell,5,1,5,0,0,1,4,1,0,0,2010
Jackson,5,3,2,2,1,0,5,0,0,0,2010
Johnston,7,0,7,0,0,1,7,0,0,0,2010
Jones,5,2,1,4,0,1,5,0,0,0,2010
Lee,7,2,4,3,0,1,6,1,0,0,2010
Lenoir,7,2,2,4,1,2,5,2,0,0,2010
Lincoln,5,1,5,0,0,0,5,0,0,0,2010
Macon,5,1,3,2,0,0,5,0,0,0,2010
Madison,5,3,1,4,0,2,5,0,0,0,2010
Martin,5,1,0,3,2,0,4,1,0,0,2010
McDowell,5,1,5,0,0,0,5,0,0,0,2010
Mecklenburg,9,1,4,5,0,3,6,3,0,0,2010
Mitchell,5,3,5,0,0,0,5,0,0,0,2010
Montgomery,5,0,1,4,0,0,4,1,0,0,2010
Moore,5,1,5,0,0,0,5,0,0,0,2010
Nash,7,0,3,4,0,2,5,2,0,0,2010
New Hanover,5,2,4,1,0,0,4,1,0,0,2010
Northampton,5,0,0,5,0,2,1,4,0,0,2010
Onslow,5,0,5,0,0,1,5,0,0,0,2010
Orange,7,1,0,7,0,4,6,1,0,0,2010
Pamlico,7,0,2,5,0,2,6,1,0,0,2010
Pasquotank,7,3,0,7,0,0,6,1,0,0,2010
Pender,5,1,3,2,0,0,3,2,0,0,2010
Perquimans,6,1,2,4,0,3,4,2,0,0,2010
Person,5,1,2,3,0,1,4,1,0,0,2010
Pitt,9,1,2,7,0,1,7,2,0,0,2010
Polk,5,2,2,3,0,2,5,0,0,0,2010
Randolph,5,0,5,0,0,0,5,0,0,0,2010
Richmond,7,2,1,6,0,1,6,1,0,0,2010
Robeson,8,1,1,7,0,0,3,2,3,0,2010
Rockingham,5,2,2,3,0,0,4,1,0,0,2010
Rowan,5,1,4,1,0,0,5,0,0,0,2010
Rutherford,5,3,3,2,0,1,5,0,0,0,2010
Sampson,5,1,3,2,0,0,3,2,0,0,2010
Scotland,7,2,0,7,0,2,4,3,0,0,2010
Stanly,5,1,5,0,0,1,5,0,0,0,2010
Stokes,5,2,5,0,0,1,5,0,0,0,2010
Surry,5,3,5,0,0,0,5,0,0,0,2010
Swain,5,2,0,5,0,0,5,0,0,0,2010
Transylvania,5,1,5,0,0,0,5,0,0,0,2010
Tyrrell,5,0,0,4,1,0,4,1,0,0,2010
Union,5,3,5,0,0,2,5,0,0,0,2010
Vance,7,2,2,5,0,1,4,3,0,0,2010
Wake,7,1,4,3,0,1,6,1,0,0,2010
Warren,5,2,0,5,0,3,0,4,1,0,2010
Washington,5,1,0,5,0,2,3,2,0,0,2010
Watauga,5,3,3,2,0,0,5,0,0,0,2010
Wayne,7,0,2,5,0,1,5,2,0,0,2010
Wilkes,5,2,5,0,0,0,5,0,0,0,2010
Wilson,7,3,3,4,0,1,4,3,0,0,2010
Yadkin,5,3,5,0,0,0,5,0,0,0,2010
Yancey,5,4,2,3,0,2,5,0,0,0,2010
Alamance,5,1,4,1,0,0,5,0,0,0,2012
Alexander,5,0,5,0,0,1,5,0,0,0,2012
Alleghany,5,2,1,4,0,0,5,0,0,0,2012
Anson,7,0,0,7,0,1,3,4,0,0,2012
Ashe,5,0,5,0,0,0,5,0,0,0,2012
Avery,5,1,5,0,0,2,5,0,0,0,2012
Beaufort,7,2,4,3,0,0,5,2,0,0,2012
Bertie,5,2,0,4,1,0,2,3,0,0,2012
Bladen,9,2,1,8,0,2,6,3,0,0,2012
Brunswick,5,2,5,0,0,0,4,1,0,0,2012
Buncombe,7,5,3,4,0,2,7,0,0,0,2012
Burke,5,2,5,0,0,1,4,1,0,0,2012
Cabarrus,5,1,5,0,0,2,5,0,0,0,2012
Caldwell,5,2,5,0,0,0,5,0,0,0,2012
Camden,5,0,4,1,0,1,5,0,0,0,2012
Carteret,7,3,7,0,0,0,7,0,0,0,2012
Caswell,7,1,2,5,0,0,4,3,0,0,2012
Catawba,5,0,5,0,0,3,5,0,0,0,2012
Chatham,5,0,3,2,0,1,4,1,0,0,2012
Cherokee,5,2,4,1,0,0,5,0,0,0,2012
Chowan,7,2,2,5,0,0,5,2,0,0,2012
Clay,3,0,2,1,0,0,3,0,0,0,2012
Cleveland,5,1,4,1,0,1,4,1,0,0,2012
Columbus,7,1,0,7,0,0,5,1,1,0,2012
Craven,7,0,5,2,0,1,4,2,1,0,2012
Cumberland,7,0,0,7,0,1,5,2,0,0,2012
Currituck,7,2,7,0,0,1,7,0,0,0,2012
Dare,7,1,3,4,0,1,6,1,0,0,2012
Davidson,7,1,7,0,0,1,7,0,0,0,2012
Davie,5,1,5,0,0,0,5,0,0,0,2012
Duplin,6,2,1,5,0,2,4,2,0,0,2012
Durham,5,2,0,5,0,3,2,3,0,0,2012
Edgecombe,7,0,0,7,0,2,3,4,0,0,2012
Forsyth,7,0,5,2,0,2,5,2,0,0,2012
Franklin,7,1,3,4,0,1,6,1,0,0,2012
Gaston,7,1,7,0,0,1,6,1,0,0,2012
Gates,5,1,0,5,0,0,4,1,0,0,2012
Graham,5,1,5,0,0,1,5,0,0,0,2012
Granville,7,1,1,6,0,0,4,3,0,0,2012
Greene,5,0,0,5,0,0,4,1,0,0,2012
Guilford,9,4,5,4,0,3,6,3,0,0,2012
Halifax,6,0,0,6,0,2,3,3,0,0,2012
Harnett,5,2,4,1,0,1,4,1,0,0,2012
Haywood,5,0,1,4,0,0,5,0,0,0,2012
Henderson,5,1,5,0,0,0,5,0,0,0,2012
Hertford,5,0,0,5,0,0,1,4,0,0,2012
Hoke,5,0,0,5,0,2,2,2,1,0,2012
Hyde,5,2,1,3,1,1,5,0,0,0,2012
