"COUNTY","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
1,118534,55177,63357,43064,48460,10041,12581,684,684,716,894,41,40,631,698,43577,49021,10318,12944,1024,1040,860,1061,84,85,49653,58156,38468,44150,9795,12325,202,249,692,872,24,20,472,540,38849,44579,10001,12614,446,519,799,1003,60,49,5524,5201,4596,4310,246,256,482,435,24,22,16,20,160,158,4727,4442,317,331,578,521,61,58,24,36
3,29166,14812,14354,13350,13422,1155,628,75,58,140,134,3,9,88,103,13431,13509,1193,677,118,112,152,152,7,12,14306,13945,12906,13057,1127,617,47,34,139,130,3,8,84,100,12983,13141,1160,664,89,86,151,148,7,11,505,408,444,365,28,11,28,24,1,4,0,1,5,3,449,368,33,13,28,26,1,4,0,1
5,8930,4404,4526,4236,4399,67,64,28,10,28,22,2,2,43,28,4275,4424,85,77,54,26,32,24,3,3,3991,4303,3866,4204,57,53,9,4,25,19,2,1,31,21,3894,4222,72,64,27,14,27,22,3,2,413,223,370,195,9,11,19,6,2,2,0,1,12,7,381,202,14,13,28,11,4,2,0,1
7,20553,10730,9823,5349,4885,5083,4688,111,50,101,113,9,5,76,81,5414,4959,5116,4726,150,89,112,126,16,10,10262,9662,4950,4768,5057,4676,91,38,95,109,2,3,66,69,5006,4830,5086,4709,125,70,105,122,7,7,468,161,398,118,25,13,21,12,6,4,7,2,10,12,407,130,30,18,25,19,7,4,9,3
9,22018,10796,11221,10509,10981,105,76,35,30,46,57,9,1,93,78,10595,11050,141,108,97,75,52,65,10,2,10153,10946,9931,10732,77,63,21,23,44,57,3,1,78,70,10001,10795,103,91,75,63,49,65,4,2,644,275,579,248,28,12,14,7,2,0,6,0,15,8,593,255,38,16,22,12,3,0,6,0
11,14746,8153,6593,7377,6431,643,57,53,23,36,25,1,4,42,54,7415,6477,662,79,76,59,41,28,3,5,7725,6435,6986,6280,635,57,32,21,32,24,1,3,38,50,7019,6322,653,79,55,54,35,27,3,4,428,159,391,151,8,0,21,2,4,1,0,1,4,3,396,155,9,0,22,5,6,1,0,1
13,37519,17712,19807,13298,14307,4003,5126,168,123,73,100,13,10,157,141,13435,14425,4079,5202,246,189,97,121,23,16,16578,18905,12431,13604,3913,5050,51,46,62,91,3,1,119,113,12532,13698,3969,5108,111,104,80,107,11,6,1134,903,867,703,90,77,117,77,11,9,10,9,38,28,903,727,110,93,134,86,17,14,11,10
15,16554,8237,8317,3084,3122,4989,5042,59,31,33,44,10,5,61,72,3121,3171,5033,5081,96,70,36,56,12,11,8091,8233,2989,3080,4961,5018,58,24,32,43,0,1,51,67,3019,3124,4998,5054,88,60,35,55,2,7,146,84,96,42,28,24,1,7,1,1,10,4,10,5,102,47,35,27,7,9,1,1,10,4
17,27261,12825,14437,8207,8635,4152,5257,327,355,30,42,5,3,103,144,8297,8748,4196,5325,382,443,49,62,9,8,11930,13818,7485,8152,4070,5198,252,292,27,41,4,3,91,133,7563,8256,4107,5258,303,376,45,59,8,8,894,618,722,483,81,60,75,63,3,1,1,0,12,12,734,493,89,67,79,67,4,2,1,0
19,95116,45605,49511,39712,43036,4753,5252,393,348,250,364,54,23,444,488,40102,43462,4893,5446,651,633,331,441,83,44,43702,48067,38101,41790,4643,5167,288,285,230,346,43,15,398,464,38448,42194,4760,5350,527,556,304,421,69,36,1903,1444,1611,1246,110,85,105,64,20,17,11,8,46,24,1654,1269,133,95,123,77,27,20,14,8
21,198599,93912,104687,85448,95313,5785,6131,479,485,966,1307,120,121,1114,1330,86453,96497,6200,6666,1078,1209,1179,1559,161,171,88807,100219,80769,91270,5647,6001,339,355,942,1275,101,101,1010,1217,81676,92353,6010,6488,890,1021,1147,1507,140,146,5105,4469,4680,4043,139,131,140,130,25,32,19,20,104,112,4777,4144,190,179,189,188,32,53,22,25
23,70919,34653,36266,30314,32463,2373,2029,320,215,1127,1103,201,134,319,323,30592,32744,2508,2167,480,395,1188,1154,218,151,32912,35002,29080,31515,2318,1992,94,86,1081,1081,59,39,281,289,29324,31766,2433,2117,239,245,1135,1129,75,53,1741,1264,1234,948,55,37,226,129,46,21,142,96,37,33,1268,978,75,50,241,150,54,26,142,99
25,138400,65945,72456,53588,57414,9766,11962,393,407,1553,1771,36,54,609,848,54127,58143,10058,12405,639,762,1697,1963,72,102,60735,67274,49097,52992,9394,11573,220,227,1491,1717,24,30,509,734,49542,53623,9633,11951,428,532,1621,1888,54,72,5210,5182,4491,4422,371,388,173,180,61,54,12,23,101,114,4585,4520,425,454,211,230,75,75,18,30
27,64629,31637,32993,29512,30876,1537,1466,166,177,165,178,25,20,231,276,29717,31126,1629,1587,290,330,200,206,34,29,30366,31900,28451,29978,1485,1421,66,74,154,169,4,6,207,252,28631,30204,1564,1527,183,217,184,196,13,15,1270,1092,1061,898,52,45,99,103,11,9,21,13,25,24,1086,921,65,60,107,113,16,10,21,13
29,7751,3799,3952,3171,3245,496,544,14,18,63,87,2,4,53,54,3211,3291,516,572,42,42,74,96,8,7,3727,3878,3113,3185,489,537,12,16,61,85,1,3,51,52,3152,3229,509,565,39,38,72,94,7,6,72,74,58,60,7,7,2,2,2,2,1,1,1,2,59,62,8,7,3,4,2,2,1,1
31,55831,27208,28623,24772,26138,1704,1551,154,156,215,398,39,30,324,350,25059,26441,1817,1679,321,345,297,478,50,49,26237,27901,23969,25506,1652,1514,108,141,207,387,25,25,277,328,24210,25792,1741,1632,255,319,281,464,35,43,971,722,803,631,52,37,46,15,9,11,14,6,47,21,849,649,76,47,66,27,16,14,14,6
33,18857,9573,9284,6120,5976,3283,3138,56,41,26,39,3,1,85,89,6184,6048,3324,3177,101,96,44,53,10,6,9252,9093,5847,5822,3261,3117,37,29,25,39,3,1,79,85,5907,5890,3299,3155,79,81,42,52,9,6,320,191,272,154,22,21,19,12,1,0,0,0,6,4,277,158,25,21,22,15,2,1,1,0
35,119541,57723,61819,50070,53730,4911,5251,278,246,1957,2010,28,32,480,550,50503,54222,5142,5531,480,482,2049,2105,50,50,53540,58112,46267,50382,4780,5131,137,120,1919,1985,19,16,418,477,46642,50814,4979,5368,314,327,2003,2068,38,33,4183,3707,3803,3348,131,120,141,125,38,25,8,16,62,73,3862,3408,163,163,165,154,46,37,11,18
37,53114,25167,27946,21069,23123,3244,3799,311,277,296,450,23,16,224,281,21262,23356,3336,3926,429,433,339,503,33,31,22470,25676,18789,21206,3146,3696,77,91,282,432,8,6,169,244,18929,21412,3211,3804,168,227,320,477,17,20,2697,2271,2280,1917,98,103,234,186,14,18,15,10,55,37,2333,1944,125,122,260,206,19,27,16,11
39,22164,10623,11541,10045,10964,135,135,167,160,49,64,7,4,219,214,10252,11170,172,177,340,333,72,74,10,5,10373,11307,9849,10782,125,127,150,141,48,60,5,2,196,195,10034,10970,151,160,311,303,70,70,7,3,250,234,196,181,10,8,17,19,1,4,2,2,24,19,218,200,21,17,30,30,2,4,3,2
41,11621,5420,6201,3627,3928,1637,2146,34,17,66,65,12,6,43,39,3666,3964,1656,2163,51,38,76,68,16,7,5255,6089,3504,3839,1621,2135,24,15,66,65,1,1,38,34,3538,3870,1637,2150,38,33,76,67,5,2,165,112,123,89,16,11,9,2,0,0,11,5,5,5,128,94,19,13,12,4,0,1,11,5
43,8723,4221,4502,4112,4407,40,34,19,16,5,17,2,1,43,28,4151,4434,57,45,41,31,16,22,2,1,4122,4410,4019,4318,38,30,19,16,5,17,2,1,39,28,4054,4345,53,41,40,31,15,22,2,1,99,93,93,89,2,4,0,0,0,0,0,0,4,0,97,89,4,4,1,0,1,0,0,0
45,75166,35483,39683,28178,30696,6558,8178,119,116,332,379,6,11,291,302,28438,30960,6710,8333,242,249,377,423,21,33,34545,38851,27390,30006,6497,8126,79,78,314,357,4,10,261,274,27621,30244,6631,8264,194,199,357,398,18,31,938,832,788,690,61,53,40,38,18,21,2,1,30,28,817,716,79,69,48,49,21,26,3,2
47,44513,21844,22669,14083,14858,6710,6704,713,742,84,102,23,12,232,250,14274,15060,6804,6799,852,909,128,130,33,30,20934,21997,13406,14348,6609,6626,658,700,63,94,16,7,183,221,13553,14521,6682,6710,773,852,96,119,22,22,910,672,676,510,101,78,55,42,21,8,7,5,49,29,721,538,122,90,78,57,32,11,11,7
49,80547,40606,39941,30771,29291,8103,8766,266,206,797,999,66,53,603,626,31263,29795,8382,9053,504,462,995,1200,122,111,37801,38066,28394,27728,7884,8609,209,155,762,974,43,41,509,560,28802,28178,8116,8859,407,381,943,1163,89,96,2804,1875,2377,1563,220,157,57,51,35,25,23,12,94,67,2460,1617,266,194,97,80,52,37,33,16
51,241524,116296,125228,67529,66426,40697,48412,1915,2219,2668,4171,460,468,3027,3532,69912,69158,42334,50428,3217,3790,3584,5203,727,776,104748,114103,58510,58261,39200,46618,1588,1921,2556,4031,399,370,2495,2903,60459,60491,40538,48248,2630,3182,3363,4935,610,618,11548,11125,9018,8165,1496,1794,327,299,112,140,61,98,532,630,9452,8667,1796,2180,587,609,220,268,118,158
53,18976,9349,9626,8604,8812,549,562,55,51,45,92,5,7,91,102,8684,8904,582,599,107,104,63,112,8,11,9095,9353,8383,8584,533,543,54,43,43,88,3,6,80,89,8452,8663,561,574,99,91,60,107,6,10,254,273,221,228,16,20,1,8,2,3,2,1,11,13,232,241,21,26,8,14,2,5,2,1
55,28045,13830,14215,13107,13562,430,312,63,78,58,117,8,5,165,141,13253,13691,485,359,160,163,85,136,16,11,12972,13569,12334,12980,385,296,39,53,58,115,7,4,149,121,12465,13091,432,336,130,129,82,130,14,9,858,646,772,582,45,15,23,26,0,2,1,1,16,19,788,600,53,23,30,34,3,6,2,2
57,126786,61207,65579,54264,57558,5291,6140,451,435,680,913,25,18,495,515,54709,58012,5449,6329,738,717,779,1005,44,44,57896,62664,51416,55054,5158,5997,256,275,645,881,11,13,408,444,51782,55452,5286,6152,494,521,729,962,27,34,3311,2915,2848,2504,132,143,195,159,35,32,14,5,87,71,2927,2560,163,178,243,197,49,43,17,9
59,32413,15513,16900,14281,15470,942,1083,83,84,87,119,3,3,117,141,14384,15597,997,1145,134,156,110,137,8,9,14698,16170,13577,14827,914,1057,30,46,78,107,3,3,97,131,13661,14944,957,1114,72,112,100,123,7,9,815,730,705,643,28,26,53,39,9,12,0,0,20,10,723,653,40,32,62,44,10,13,1,0
61,44618,21527,23091,15542,15819,5353,6645,253,250,98,117,92,73,188,187,15710,15976,5423,6725,359,348,127,152,102,80,17463,19900,12087,13095,5141,6492,62,83,51,87,9,10,113,132,12188,13204,5180,6546,124,156,72,111,14,16,4064,3192,3455,2724,213,153,191,166,47,30,83,63,75,55,3522,2771,243,180,235,192,55,40,88,64
63,222608,104474,118134,58965,62798,37299,46758,1034,837,5369,5726,106,96,1701,1920,60240,64215,38161,47854,1825,1767,5915,6288,183,188,91144,107432,47990,54037,36204,45772,331,359,5244,5628,45,58,1330,1578,48964,55184,36873,46655,951,1121,5703,6128,101,126,13330,10702,10974,8761,1096,986,703,477,125,97,61,38,371,342,11275,9030,1289,1199,874,646,211,160,82,62
65,42557,19141,23415,8342,9432,10481,13627,127,120,38,49,18,7,135,181,8457,9567,10538,13720,200,224,68,78,21,18,18448,22836,7822,9020,10415,13550,61,67,36,49,6,3,108,147,7911,9125,10461,13628,121,156,61,71,9,14,694,579,520,412,66,77,66,53,2,0,12,4,27,34,546,442,77,92,79,69,6,7,12,4
67,274007,127085,146921,90430,100465,31455,40303,964,965,2541,3138,135,118,1561,1934,91703,102037,32284,41426,1668,1885,2936,3591,212,212,114149,134731,80066,90884,30031,38783,342,404,2464,3051,69,73,1177,1536,81008,92126,30645,39651,878,1128,2794,3437,113,145,12937,12190,10364,9581,1424,1520,621,561,77,87,66,45,384,398,10695,9911,1639,1775,790,756,142,154,99,67
69,47680,23298,24382,16608,16906,6116,6842,199,196,110,158,16,18,250,261,16804,17098,6226,6974,328,346,172,206,30,32,21699,23130,15352,15918,5958,6713,96,129,89,147,3,5,201,219,15505,16079,6046,6817,203,255,141,191,16,19,1599,1252,1257,989,157,129,103,67,21,11,13,13,49,42,1299,1019,180,157,126,91,30,15,14,13
71,161003,76327,84676,63535,68959,10564,13252,430,405,1022,1177,33,32,742,850,64191,69703,10899,13654,781,815,1180,1344,59,76,72263,80817,59890,65563,10345,12983,313,295,1007,1164,20,17,688,795,60502,66264,10647,13350,638,680,1158,1323,42,60,4064,3859,3645,3397,219,269,117,110,16,13,13,15,54,55,3688,3439,252,304,143,135,22,20,17,16
73,9150,4435,4714,2917,2982,1423,1626,25,30,10,7,6,3,54,66,2962,3035,1451,1658,49,62,21,23,6,5,4362,4655,2860,2934,1413,1622,24,27,10,6,2,3,52,63,2903,2983,1440,1653,48,57,21,21,2,5,73,59,57,48,10,4,1,3,0,1,4,0,1,3,58,52,11,5,1,4,0,2,4,0
75,6893,3319,3574,3082,3282,7,4,176,219,9,15,4,2,41,51,3119,3328,24,24,202,250,10,19,5,3,3237,3513,3025,3239,7,4,157,203,9,15,0,2,39,50,3060,3284,23,23,184,234,10,19,0,3,82,61,57,43,0,0,19,16,0,0,4,0,2,1,59,44,1,1,19,16,0,0,5,0
77,45560,23089,22471,15066,14670,7480,7297,183,123,132,155,17,11,213,214,15225,14831,7579,7396,300,232,178,204,31,27,21535,21402,13787,13805,7337,7208,108,49,127,149,8,9,168,181,13909,13942,7414,7293,204,142,166,189,17,23,1554,1069,1279,865,142,88,75,75,5,6,9,2,45,33,1317,889,165,104,96,90,12,15,15,4
79,16591,9055,7536,5332,4572,3431,2734,177,124,27,35,17,11,72,59,5387,4621,3468,2767,214,158,39,41,23,12,7877,6798,4368,3995,3369,2692,61,31,24,33,3,2,52,45,4406,4032,3393,2714,91,59,33,38,7,3,1179,737,964,577,61,42,116,93,3,2,14,10,20,14,981,588,75,53,122,100,6,2,15,10
81,388599,180720,207880,113650,124543,55451,70518,1252,1263,7912,8330,127,140,2329,3086,115438,126872,56792,72470,2351,2757,8545,9123,255,297,168888,196844,103865,115713,54361,69237,772,896,7810,8226,79,87,2000,2685,105393,117720,55505,70925,1714,2189,8373,8939,173,212,11832,11036,9784,8830,1089,1281,479,367,102,105,48,52,329,401,10045,9152,1287,1544,637,568,172,184,82,85
83,41693,19587,22106,8505,9141,10031,11833,780,779,125,163,9,10,138,180,8609,9258,10098,11941,847,883,155,202,24,21,19136,21760,8228,8918,9940,11758,725,752,117,153,2,5,124,173,8319,9031,10001,11861,787,853,143,190,16,16,452,346,276,223,91,75,55,27,8,10,7,5,14,6,289,227,97,79,60,30,11,11,8,5
85,90722,44211,46511,33039,34072,9277,10055,681,694,378,724,80,73,757,892,33665,34779,9636,10535,1037,1135,576,950,124,121,39652,42664,29343,30968,8958,9741,353,450,320,689,61,57,617,760,29847,31559,9249,10137,636,820,495,897,97,98,4559,3847,3696,3105,319,314,327,244,57,35,19,16,140,133,3818,3220,387,398,401,315,81,53,27,23
87,48256,22884,25372,22233,24644,264,247,129,124,76,112,8,8,174,237,22394,24849,306,310,250,296,99,141,15,16,22187,24822,21597,24138,259,244,104,108,69,109,5,5,153,218,21740,24327,293,298,212,271,89,137,12,12,697,550,636,507,5,3,25,15,7,3,3,3,21,19,654,522,13,13,38,25,10,4,3,4
89,87790,41619,46171,39193,43541,1255,1313,268,234,387,553,69,60,446,471,39595,43944,1401,1478,545,523,462,630,85,88,38080,43291,35924,40862,1194,1265,144,149,373,540,52,52,393,423,36280,41228,1315,1408,390,409,442,612,67,76,3540,2880,3268,2679,61,48,125,85,15,13,17,8,54,47,3316,2716,86,71,156,114,19,18,18,12
91,19284,9379,9906,3811,3592,5301,6011,123,131,69,55,5,3,70,114,3865,3671,5339,6070,154,201,84,81,12,7,8959,9745,3498,3497,5241,5977,95,115,57,48,0,2,68,107,3550,3569,5278,6033,126,180,71,74,7,6,420,160,313,95,60,35,28,16,12,7,5,1,1,7,315,102,61,37,28,21,12,7,5,1
93,36423,17741,18683,9447,9249,6061,6718,1544,1802,190,366,71,62,428,486,9786,9609,6260,6974,1771,2065,296,483,105,96,15866,16901,8020,7872,5883,6516,1404,1712,166,345,42,43,351,413,8292,8171,6050,6732,1588,1937,261,449,73,72,1874,1782,1427,1377,178,202,141,90,23,21,28,19,77,72,1494,1438,211,242,182,127,35,33,32,24
95,4722,2642,2080,1642,1495,939,538,24,8,8,19,0,1,28,18,1668,1510,952,547,36,19,13,21,2,1,2493,1965,1512,1388,935,535,17,4,7,19,0,1,21,17,1532,1403,945,543,24,14,11,21,1,1,149,115,129,107,4,3,7,4,1,0,0,0,7,0,136,107,7,3,12,5,2,0,0,0
