county_desc,DEM,GRE,LIB,REP,UNA,Female,Male,Undisclosed,gender_na,A,B,I,M,O,U,W,race_na,HL,NL,UN
ALAMANCE,31058,NA,393,28912,23589,45503,36813,1636,NA,547,16641,209,545,1803,3000,61207,NA,2544,65036,16372
ALEXANDER,5080,NA,63,9522,5986,10575,9804,272,NA,89,770,30,30,201,336,19195,NA,204,18107,2340
ALLEGHANY,2147,NA,24,2244,1686,3113,2897,91,NA,4,65,7,13,48,153,5811,NA,108,5115,878
ANSON,8960,2,14,1979,2526,6509,5259,1713,NA,42,5818,21,17,86,1709,5788,NA,51,10217,3213
ASHE,3779,NA,59,6241,4216,7487,6673,135,NA,29,79,13,11,78,242,13843,NA,147,12540,1608
AVERY,974,NA,32,4769,2487,4373,3794,95,NA,7,35,11,18,44,177,7970,NA,56,7059,1147
BEAUFORT,9820,NA,70,8762,7285,13715,11475,747,NA,29,6043,34,72,304,868,18587,NA,259,19583,6095
BERTIE,7295,NA,20,1196,1890,5744,4390,267,NA,19,6068,11,20,27,315,3941,NA,16,8150,2235
BLADEN,10194,NA,29,3356,5291,10299,8461,107,3,12,6827,302,59,237,264,11169,NA,269,14995,3606
BRUNSWICK,21956,1,297,32445,29190,44191,37872,1826,NA,232,6899,233,191,935,2465,72934,NA,790,57597,25502
BUNCOMBE,62227,4,1017,38433,57505,84340,70508,4338,NA,857,8348,300,906,3156,6131,139488,NA,2601,113245,43340
BURKE,13582,2,214,16353,14156,23460,20584,263,NA,552,2631,70,111,787,499,39657,NA,618,39191,4498
CABARRUS,32549,4,598,41716,35442,58669,49168,2472,NA,1629,19224,254,642,3028,4012,81520,NA,3536,85295,21478
CALDWELL,10046,1,254,20013,11779,22044,19773,276,NA,107,2041,52,106,503,488,38796,NA,531,36684,4878
CAMDEN,1496,NA,38,1951,2392,3027,2795,55,NA,27,750,7,20,66,102,4905,NA,16,2464,3397
CARTERET,9106,NA,170,18546,14012,21745,19041,1048,NA,177,1876,73,122,305,1034,38247,NA,354,34531,6949
CASWELL,5533,NA,26,2449,3503,6098,5202,211,NA,18,3777,16,38,100,298,7264,NA,100,8978,2433
CATAWBA,18921,2,322,37652,26633,44239,38354,937,NA,1257,6991,99,295,1977,1682,71229,NA,2095,69553,11882
CHATHAM,18098,NA,183,11310,16401,23757,20096,2139,NA,486,5332,85,201,999,2349,36540,NA,1255,34623,10114
CHEROKEE,3445,NA,96,7456,5325,8588,7688,46,NA,55,152,106,29,111,130,15739,NA,123,14297,1902
CHOWAN,3590,NA,15,2119,2160,4358,3440,86,NA,14,2265,9,18,49,189,5340,NA,34,6244,1606
CLAY,1501,NA,31,3174,2533,3751,3394,94,NA,6,28,12,3,33,149,7008,NA,45,6091,1103
CLEVELAND,20857,1,191,17754,13846,28116,23688,845,NA,177,11012,68,181,465,1136,39610,NA,431,44864,7354
COLUMBUS,15268,1,41,5717,6972,15257,12547,185,10,40,8343,729,70,291,326,18200,NA,216,23870,3913
CRAVEN,17863,NA,240,20036,16349,29465,24244,779,NA,592,11132,123,229,1163,1010,40239,NA,1021,46038,7429
CUMBERLAND,68966,NA,681,36179,43204,79611,62239,7180,NA,1954,60983,1600,1599,7729,6467,68698,NA,7056,103991,37983
CURRITUCK,2854,1,116,5940,6446,7823,7331,203,NA,37,777,37,60,154,268,14024,NA,99,5910,9348
DARE,7183,1,150,7770,9248,12674,11457,221,NA,65,435,33,48,278,361,23132,NA,191,13273,10888
DAVIDSON,19799,1,330,43637,24382,46600,40627,922,NA,393,7762,203,195,1243,1873,76480,NA,1332,72096,14721
DAVIE,4023,NA,89,12394,7319,12478,11082,265,NA,76,1412,25,59,266,717,21270,NA,387,19825,3613
DUPLIN,10838,NA,97,6737,6369,12961,10474,606,NA,37,6761,37,92,690,764,15660,NA,1130,18673,4238
DURHAM,98839,8,843,22136,55263,96600,74162,6327,NA,4834,64057,459,2382,5117,9768,90472,NA,6052,125532,45505
EDGECOMBE,20014,2,67,4876,3713,16463,11922,287,NA,19,17059,42,94,264,384,10810,NA,263,23188,5221
FORSYTH,82587,3,903,63061,57940,110381,88223,5890,NA,1859,54201,362,1288,5297,7764,133723,NA,6669,154241,43584
FRANKLIN,14460,NA,149,11254,9762,18655,15992,978,NA,118,9128,106,165,621,1183,24304,NA,674,28067,6884
GASTON,33702,1,518,44770,33456,60071,49919,2456,1,742,18461,275,543,2145,3811,86470,NA,2583,91068,18796
GATES,3374,NA,19,1330,1629,3333,2812,207,NA,7,2133,10,38,46,149,3969,NA,25,4691,1636
GRAHAM,1445,NA,23,2348,1220,2567,2416,53,NA,4,2,233,5,24,62,4706,NA,14,4725,297
GRANVILLE,15268,1,111,7925,8186,16535,13647,1309,NA,103,9991,59,150,493,896,19799,NA,550,25135,5806
GREENE,5193,NA,13,1741,2269,5016,4113,87,NA,22,3398,8,30,227,172,5359,NA,300,7502,1414
GUILFORD,128629,9,1246,79684,78221,159486,124840,3462,1,5619,95206,728,2340,7595,7156,169145,NA,6700,242583,38506
HALIFAX,19227,NA,66,3418,6414,16203,12565,356,1,151,15718,948,132,216,508,11452,NA,165,24373,4587
HARNETT,19671,NA,334,20698,15548,30195,24777,1279,NA,328,12127,362,392,1982,2196,38864,NA,2184,42275,11792
HAYWOOD,11672,4,207,10538,11003,17733,15460,231,NA,85,323,76,87,211,630,32012,NA,269,28220,4935
HENDERSON,13901,4,329,26017,27056,36060,30157,1090,NA,313,1742,107,312,1121,1777,61935,NA,1405,49298,16604
HERTFORD,8294,NA,28,1116,2096,6534,4865,135,NA,23,7184,82,52,89,210,3894,NA,50,8608,2876
HOKE,10320,1,139,4667,6623,12050,9670,28,2,204,8984,1399,222,1352,272,9316,1,1279,18551,1920
HYDE,1048,NA,11,376,704,1107,989,43,NA,NA,404,1,6,20,45,1663,NA,25,1595,519
IREDELL,23719,1,428,42167,30967,51217,45093,972,NA,752,10605,166,398,1870,1958,81533,NA,2125,82958,12199
JACKSON,8224,3,135,6121,8094,11783,10081,713,NA,187,514,1081,197,298,690,19610,NA,393,17859,4325
JOHNSTON,31512,4,567,41423,30740,55369,47436,1441,NA,438,16603,287,495,2829,3225,80369,NA,3784,80762,19700
JONES,2777,NA,13,1515,1494,3079,2652,68,NA,16,1879,9,16,51,110,3718,NA,52,4632,1115
LEE,11681,2,133,8589,8672,15851,12900,326,NA,146,5817,113,233,1299,776,20693,NA,1772,22972,4333
LENOIR,13608,NA,85,7143,6259,14862,11730,503,NA,70,11412,47,104,416,481,14565,NA,418,21113,5564
LINCOLN,11070,NA,221,22058,14994,24976,22704,663,NA,158,2658,75,139,771,1082,43460,NA,1089,39656,7598
MACON,5307,2,101,8964,6929,11392,9813,98,NA,65,119,44,47,209,268,20551,NA,226,17333,3744
MADISON,5235,NA,83,3635,4681,6899,6444,291,NA,31,100,18,38,112,292,13043,NA,103,8497,5034
MARTIN,8235,NA,26,2754,2921,7703,6124,109,NA,14,5812,16,28,104,168,7794,NA,76,11735,2125
MCDOWELL,6065,NA,107,8934,7239,11753,10592,NA,NA,79,615,22,59,257,NA,21313,NA,209,19762,2374
MECKLENBURG,258559,17,3520,144261,189711,320620,261771,13677,NA,12864,189946,1642,5052,24651,23528,338385,NA,24903,468366,102799
MITCHELL,846,NA,24,4490,2365,4014,3611,100,NA,11,24,4,13,48,239,7386,NA,76,6273,1376
MONTGOMERY,5773,2,50,4333,3429,7127,6290,170,NA,108,2729,33,40,340,328,10009,NA,434,10617,2536
MOORE,12945,NA,260,23369,18855,30358,25056,15,NA,333,6169,241,166,1071,716,46733,NA,817,50323,4289
NASH,27166,1,161,15937,11152,30010,23855,552,NA,223,21269,251,236,891,979,30568,NA,841,45562,8014
NEW HANOVER,39615,5,803,42086,45262,66676,55223,5872,NA,783,15537,277,722,2038,5077,103337,NA,1910,94257,31604
NORTHAMPTON,8216,1,16,1148,2061,6230,4979,233,NA,7,6571,27,23,41,199,4574,NA,29,9230,2183
ONSLOW,18568,3,645,28580,27858,40543,33701,1410,NA,806,13208,259,625,3431,2207,55118,NA,3646,61001,11007
ORANGE,39681,8,538,11934,33914,44859,36740,4476,NA,3822,9336,200,1173,2583,5679,63282,NA,2679,64378,19018
PAMLICO,2961,NA,32,2616,2126,4043,3569,123,NA,15,1371,20,16,58,187,6068,NA,52,6240,1443
PASQUOTANK,10033,2,122,4799,7004,11841,9678,441,NA,98,7962,38,120,317,563,12862,NA,175,10018,11767
PENDER,9957,NA,172,12920,10134,17363,15304,516,NA,79,5024,75,83,555,910,26457,NA,584,25979,6620
PERQUIMANS,2470,1,20,2053,2319,3653,3188,22,NA,8,1500,12,19,36,96,5191,1,29,3284,3550
PERSON,9218,NA,76,5478,6432,11482,9472,250,NA,46,5537,80,98,241,432,14770,NA,225,16275,4704
PITT,43838,7,543,26046,26237,52765,40871,3035,NA,778,32993,188,683,2489,2017,57523,NA,1905,85661,9105
POLK,3418,2,56,4622,4762,6903,5846,111,NA,27,513,9,35,121,200,11955,NA,136,10707,2017
RANDOLPH,14919,2,388,40105,20882,40017,35459,820,NA,383,4616,209,181,2020,1272,67615,NA,2192,60448,13656
RICHMOND,11134,NA,56,4515,5884,11634,9703,252,NA,85,7068,310,51,365,403,13307,NA,269,18299,3021
ROBESON,33317,1,119,6799,12283,29424,22791,304,NA,174,14566,18111,312,1339,991,17026,NA,916,49150,2453
ROCKINGHAM,17936,2,168,17763,13213,26708,22374,NA,NA,114,9520,86,152,598,1281,37331,NA,653,41418,7011
ROWAN,19138,NA,300,28922,20950,36831,31657,822,NA,329,11585,126,294,1247,1402,54327,NA,1324,58143,9843
RUTHERFORD,11217,NA,175,14327,10901,19253,16493,874,NA,82,3404,53,94,438,1121,31428,NA,464,30474,5682
SAMPSON,12457,NA,82,11824,5853,16552,13375,289,NA,66,8746,429,112,1195,611,19057,NA,1287,26019,2910
SCOTLAND,9294,NA,37,2817,4505,9262,7068,323,NA,99,6618,1114,62,134,475,8151,NA,127,12350,4176
STANLY,9052,1,116,16208,9930,18296,16174,837,NA,256,3603,65,56,331,1123,29873,NA,262,31043,4002
STOKES,5156,2,110,11462,6380,12143,10920,47,NA,28,934,39,80,180,484,21365,NA,208,19349,3553
SURRY,10917,1,97,16817,10329,20122,17411,628,NA,66,1364,46,75,676,1157,34777,NA,905,31875,5381
SWAIN,2912,NA,24,2045,2603,4023,3547,14,NA,12,66,1141,19,56,77,6213,NA,40,7348,196
TRANSYLVANIA,5591,NA,83,7150,8872,11479,9791,426,NA,48,695,36,72,182,539,20124,NA,137,17996,3563
TYRRELL,1057,NA,6,299,570,1032,882,18,NA,15,571,5,3,32,27,1279,NA,27,1411,494
UNION,29650,NA,496,51532,39347,63188,55911,1926,NA,1865,14383,297,649,4167,3459,96205,NA,4357,99501,17167
VANCE,15509,1,52,3493,4418,13132,9967,374,NA,57,12143,37,102,368,520,10246,NA,379,19859,3235
WAKE,215194,29,3545,141104,205109,292461,249279,23241,NA,17051,109565,1349,4908,22051,32849,377208,NA,18267,411286,135428
WARREN,7393,NA,23,1465,1818,5787,4788,124,NA,15,5570,479,38,104,154,4339,NA,41,7637,3021
WASHINGTON,4776,NA,15,921,1404,3968,3050,98,NA,16,3465,7,17,40,235,3336,NA,40,6049,1027
WATAUGA,9844,2,373,11562,14862,19430,16773,440,NA,274,760,53,403,517,713,33923,NA,835,30511,5297
WAYNE,25471,NA,236,19948,13761,31916,25837,1662,1,320,19449,102,261,1558,2146,35580,NA,1510,44863,13043
WILKES,7793,1,113,19108,8577,18573,16566,453,NA,55,1315,38,103,323,393,33365,NA,511,31650,3431
WILSON,23240,1,123,11262,10108,24888,18962,884,NA,139,18126,69,139,1091,1314,23856,NA,889,34755,9090
YADKIN,2639,NA,59,9565,4991,8915,8064,275,NA,42,520,22,43,370,310,15947,NA,517,14607,2130
YANCEY,4331,NA,41,4323,3307,6153,5666,183,NA,24,69,16,20,46,176,11651,NA,60,10042,1900